freq_law,amp_law,phase_law,energy_law,E_electron,E_proton,E_neutron,predicted_mp_me,observed_mp_me,pct_error_mp_me,predicted_mn_mp,observed_mn_mp,pct_error_mn_mp,hierarchy_correct,e_shells,p_shells,n_shells
linear,uniform,exact_closure,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,torsional_offset,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,winding_parity,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,exact_closure,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,torsional_offset,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,winding_parity,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,exact_closure,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,torsional_offset,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,winding_parity,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,exact_closure,optimal_k,2.804655375931e+01,5.375854607410e+04,5.375854607410e+04,1916.761201,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,torsional_offset,optimal_k,2.804655375931e+01,5.375854607410e+04,5.375854607410e+04,1916.761201,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,winding_parity,optimal_k,2.804655375931e+01,5.375854607410e+04,5.375854607410e+04,1916.761201,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,exact_closure,optimal_k,2.549686703959e+01,4.887140556469e+04,4.887140556469e+04,1916.761204,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,torsional_offset,optimal_k,2.549686703959e+01,4.887140556469e+04,4.887140556469e+04,1916.761204,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,winding_parity,optimal_k,2.549686703959e+01,4.887140556469e+04,4.887140556469e+04,1916.761204,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,exact_closure,optimal_k,1.575793042493e+01,2.681136641726e+04,2.681136641726e+04,1701.452265,1836.152673,7.3360,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,torsional_offset,optimal_k,1.575793042493e+01,2.681136641726e+04,2.681136641726e+04,1701.452265,1836.152673,7.3360,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,winding_parity,optimal_k,1.575793042493e+01,2.681136641726e+04,2.681136641726e+04,1701.452265,1836.152673,7.3360,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,exact_closure,structural_k,2.657541114351e+01,4.343375565827e+04,4.343375565827e+04,1634.358747,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,torsional_offset,structural_k,2.657541114351e+01,4.343375565827e+04,4.343375565827e+04,1634.358747,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,winding_parity,structural_k,2.657541114351e+01,4.343375565827e+04,4.343375565827e+04,1634.358747,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,exact_closure,structural_k,2.415946466234e+01,3.948523245106e+04,3.948523245106e+04,1634.358749,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,torsional_offset,structural_k,2.415946466234e+01,3.948523245106e+04,3.948523245106e+04,1634.358749,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,winding_parity,structural_k,2.415946466234e+01,3.948523245106e+04,3.948523245106e+04,1634.358749,1836.152673,10.9900,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,exact_closure,structural_k,1.493137029979e+01,2.325021112069e+04,2.325021112069e+04,1557.138471,1836.152673,15.1956,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,torsional_offset,structural_k,1.493137029979e+01,2.325021112069e+04,2.325021112069e+04,1557.138471,1836.152673,15.1956,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,winding_parity,structural_k,1.493137029979e+01,2.325021112069e+04,2.325021112069e+04,1557.138471,1836.152673,15.1956,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,exact_closure,structural_k,2.657541114351e+01,4.008356972379e+04,4.008356972379e+04,1508.295375,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,torsional_offset,structural_k,2.657541114351e+01,4.008356972379e+04,4.008356972379e+04,1508.295375,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,winding_parity,structural_k,2.657541114351e+01,4.008356972379e+04,4.008356972379e+04,1508.295375,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,exact_closure,structural_k,2.415946466234e+01,3.643960886836e+04,3.643960886836e+04,1508.295377,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,torsional_offset,structural_k,2.415946466234e+01,3.643960886836e+04,3.643960886836e+04,1508.295377,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,winding_parity,structural_k,2.415946466234e+01,3.643960886836e+04,3.643960886836e+04,1508.295377,1836.152673,17.8557,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,exact_closure,structural_k,1.493137029979e+01,2.177406305651e+04,2.177406305651e+04,1458.276275,1836.152673,20.5798,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,torsional_offset,structural_k,1.493137029979e+01,2.177406305651e+04,2.177406305651e+04,1458.276275,1836.152673,20.5798,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,winding_parity,structural_k,1.493137029979e+01,2.177406305651e+04,2.177406305651e+04,1458.276275,1836.152673,20.5798,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,exact_closure,optimal_k,2.804655375931e+01,1.721600184200e+04,1.721600184200e+04,613.836623,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,torsional_offset,optimal_k,2.804655375931e+01,1.721600184200e+04,1.721600184200e+04,613.836623,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,winding_parity,optimal_k,2.804655375931e+01,1.721600184200e+04,1.721600184200e+04,613.836623,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,exact_closure,optimal_k,2.549686703959e+01,1.565091077613e+04,1.565091077613e+04,613.836624,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,torsional_offset,optimal_k,2.549686703959e+01,1.565091077613e+04,1.565091077613e+04,613.836624,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,winding_parity,optimal_k,2.549686703959e+01,1.565091077613e+04,1.565091077613e+04,613.836624,1836.152673,66.5694,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,exact_closure,optimal_k,1.575793042493e+01,9.521630260855e+03,9.521630260855e+03,604.243705,1836.152673,67.0919,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,torsional_offset,optimal_k,1.575793042493e+01,9.521630260855e+03,4.509924279181e+04,604.243705,1836.152673,67.0919,4.73650431,1.00137842,372.9984,True,1,"2,3,4","2,3,4,5"
closure_corrected,closure_weight,exact_closure,structural_k,2.657541114351e+01,1.404711916057e+04,1.404711916057e+04,528.575798,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,torsional_offset,structural_k,2.657541114351e+01,1.404711916057e+04,1.404711916057e+04,528.575798,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,winding_parity,structural_k,2.657541114351e+01,1.404711916057e+04,1.404711916057e+04,528.575798,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,exact_closure,structural_k,2.415946466234e+01,1.277010833634e+04,1.277010833634e+04,528.575799,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,torsional_offset,structural_k,2.415946466234e+01,1.277010833634e+04,1.277010833634e+04,528.575799,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,winding_parity,structural_k,2.415946466234e+01,1.277010833634e+04,1.277010833634e+04,528.575799,1836.152673,71.2129,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,exact_closure,structural_k,1.493137029979e+01,7.787102171561e+03,7.787102171561e+03,521.526291,1836.152673,71.5968,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,torsional_offset,structural_k,1.493137029979e+01,7.787102171561e+03,3.495893591895e+04,521.526291,1836.152673,71.5968,4.48933829,1.00137842,348.3159,True,1,"2,3,4","2,3,4,5"
linear,closure_weight,winding_parity,optimal_k,5.767399703978e+01,9.521630260855e+03,9.521630260855e+03,165.093989,1836.152673,91.0087,1.00000000,1.00137842,0.1377,False,"1,2","2,3,4","2,3,4"
linear,closure_weight,winding_parity,structural_k,5.249719691538e+01,7.787102171561e+03,7.787102171561e+03,148.333675,1836.152673,91.9215,1.00000000,1.00137842,0.1377,False,"1,2","2,3,4","2,3,4"
linear,phi_decaying,exact_closure,phi_growing_2,2.618033988750e+00,4.037461119236e+01,4.037461119236e+01,15.421729,1836.152673,99.1601,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,torsional_offset,phi_growing_2,2.618033988750e+00,4.037461119236e+01,4.037461119236e+01,15.421729,1836.152673,99.1601,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,phi_decaying,winding_parity,phi_growing_2,2.618033988750e+00,4.037461119236e+01,4.037461119236e+01,15.421729,1836.152673,99.1601,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,exact_closure,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,torsional_offset,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,winding_parity,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,exact_closure,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,torsional_offset,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,winding_parity,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,exact_closure,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,torsional_offset,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,winding_parity,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,exact_closure,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,torsional_offset,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,winding_parity,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,exact_closure,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,torsional_offset,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,winding_parity,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,exact_closure,phi_growing_2,2.618033988750e+00,2.462294260338e+01,2.462294260338e+01,9.405127,1836.152673,99.4878,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,torsional_offset,phi_growing_2,2.618033988750e+00,2.462294260338e+01,2.895468392029e+01,9.405127,1836.152673,99.4878,1.17592298,1.00137842,17.4304,True,1,"2,3,4","2,3,4,5"
closure_corrected,closure_weight,exact_closure,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,torsional_offset,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,winding_parity,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,exact_closure,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,torsional_offset,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,winding_parity,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,winding_parity,phi_growing_2,3.584738873503e+00,2.462294260338e+01,2.462294260338e+01,6.868825,1836.152673,99.6259,1.00000000,1.00137842,0.1377,False,"1,2","2,3,4","2,3,4"
